Age,B公司,Bowtie,F公司,Z公司,ZU公司
18,25,24,33.30,26.67,54.28
19,25,24,33.3,26.67,54.28
20,25.85,25,33.3,26.67,54.28
21,25.85,25,33.3,26.67,54.28
22,25.85,26,33.3,26.67,54.28
23,26.7,26,33.3,26.67,54.28
24,27.5,27,33.3,26.67,54.28
25,28.35,27,33.3,27.5,54.28
26,29.2,27,33.3,29.17,54.28
27,30.85,27,34.2,30.83,55.08
28,31.7,28,35.1,32.5,55.08
29,32.5,28,36,33.33,55.08
30,32.5,29,36.9,34.17,55.89
31,35,31,37.8,35,56.7
32,36.7,32,38.7,35.83,58.33
33,38.35,35,39.6,37.5,59.94
34,40.85,38,40.5,39.17,64.8
35,44.2,40,41.4,41.67,68.85
36,45.85,42,44.1,45,69.97
37,48.35,44,46.8,48.33,70.48
38,51.7,45,50.4,51.67,71.28
39,55.85,47,54,55,72.09
40,59.2,48,57.6,56.67,76.14
41,64.2,53,61.2,60.83,81
42,69.2,58,65.7,64.17,85.87
43,75,63,70.2,68.33,91.53
44,81.7,69,74.7,72.5,98.83
45,87.5,75,80.1,78.33,106.12
46,96.7,82,89.1,85.83,113.4
47,103.35,89,98.1,94.17,122.32
48,111.7,96,108,103.33,131.23
49,120.85,104,118.8,113.33,141.75
50,130.85,113,130.5,124.17,153.09
51,140.85,122,144,135,166.05
52,152.5,133,158.4,145,181.44
53,165,144,173.7,156.67,197.64
54,178.35,156,190.8,169.17,215.47
55,192.5,170,209.7,183.33,235.72
56,216.7,185,231.3,203.33,256.78
57,245,201,253.8,222.5,281.08
58,268.35,218,279,245,308.62
59,300.85,237,306.9,272.5,340.2
60,326.7,258,338.4,306.67,375.84
61,358.35,290,371.7,347.5,451.43
62,390.85,328,409.5,385.83,492.92
63,431.65,375,450,429.17,538.22
64,485.85,433,495,476.67,587.68
65,551.65,503,545.4,529.17,641.68
